timestamp,open,high,low,close,volume
2024-12-13 19:30:00,230.8,230.8,230.5,230.5,138
2024-12-13 19:00:00,230.82,230.82,230.5,230.7999,887385
2024-12-13 18:30:00,230.82,230.82,230.51,230.8,887372
2024-12-13 18:00:00,230.8,230.8,230.5,230.5001,108
2024-12-13 17:30:00,230.55,230.8,230.5,230.8,96
2024-12-13 17:00:00,230.69,230.82,230.15,230.51,32016
2024-12-13 16:30:00,230.82,230.82,230.82,230.82,8578
2024-12-13 16:00:00,230.77,230.83,230.0,230.69,2861151
2024-12-13 15:30:00,230.86,230.93,230.26,230.77,485273
2024-12-13 15:00:00,230.585,231.025,230.5,230.91,104910
2024-12-13 14:30:00,230.58,230.895,230.51,230.56,64910
2024-12-13 14:00:00,230.695,231.09,230.58,230.651,67217
2024-12-13 13:30:00,231.15,231.2671,230.62,230.69,62361
2024-12-13 13:00:00,231.33,231.44,231.1,231.18,68297
2024-12-13 12:30:00,231.1676,231.53,230.83,231.38,116425
2024-12-13 12:00:00,231.71,231.71,231.05,231.13,89221
2024-12-13 11:30:00,232.13,232.213,231.475,231.785,73524
2024-12-13 11:00:00,231.94,232.46,231.7703,232.0664,68670
2024-12-13 10:30:00,231.75,232.17,231.37,231.865,91168
2024-12-13 10:00:00,232.16,232.16,231.0,231.725,127363
2024-12-13 09:30:00,232.25,233.775,231.5,232.17,203637
2024-12-13 09:00:00,232.35,232.75,231.8,231.8,2392
2024-12-13 08:30:00,232.42,232.9,232.33,232.7,1032
2024-12-13 08:00:00,232.8,234.75,232.26,232.42,2788
2024-12-13 07:30:00,232.45,232.78,232.45,232.61,660
2024-12-13 07:00:00,232.5,232.54,232.34,232.43,151
2024-12-13 06:30:00,232.79,232.79,232.5,232.54,345
2024-12-13 06:00:00,232.61,232.79,232.61,232.79,88
2024-12-13 05:30:00,232.61,232.61,232.61,232.61,2
2024-12-13 05:00:00,232.82,232.82,232.45,232.7,41
2024-12-13 04:30:00,232.41,233.24,232.41,232.84,245
2024-12-13 04:00:00,232.7,232.76,232.31,232.75,71
2024-12-12 19:30:00,232.57,232.7,232.2833,232.2833,1916
2024-12-12 19:00:00,232.26,232.58,232.25,232.58,1424935
2024-12-12 18:30:00,232.26,232.58,232.25,232.58,1424886
2024-12-12 18:00:00,232.01,232.58,232.01,232.37,2716
2024-12-12 17:30:00,232.58,232.58,232.01,232.57,150
2024-12-12 17:00:00,232.26,232.64,231.988,232.01,118
2024-12-12 16:30:00,232.45,232.8,232.03,232.8,798
2024-12-12 16:00:00,232.26,233.5983,222.97,232.27,4498672
2024-12-12 15:30:00,233.145,233.51,232.23,232.26,615211
2024-12-12 15:00:00,232.54,233.57,232.54,233.13,216437
2024-12-12 14:30:00,232.38,232.8999,232.3,232.54,110678
2024-12-12 14:00:00,233.225,233.225,232.302,232.302,92178
2024-12-12 13:30:00,233.55,233.555,232.95,233.22,119510
2024-12-12 13:00:00,233.12,233.89,232.8,233.535,506155
2024-12-12 12:30:00,232.77,233.2356,232.66,233.15,117687
2024-12-12 12:00:00,232.35,232.77,232.31,232.77,72981
2024-12-12 11:30:00,233.145,233.1663,232.34,232.34,209727
2024-12-12 11:00:00,232.27,233.37,232.23,233.2,142552
2024-12-12 10:30:00,231.36,232.48,231.34,232.3187,164291
2024-12-12 10:00:00,232.235,232.31,230.54,231.48,220957
2024-12-12 09:30:00,230.66,232.69,230.38,232.3,262789
2024-12-12 09:00:00,229.62,231.31,229.62,230.11,2119
2024-12-12 08:30:00,230.44,230.44,229.6,229.6,1129
2024-12-12 08:00:00,230.06,232.1888,229.6,230.12,3714
2024-12-12 07:30:00,229.93,230.46,229.93,230.4,137
2024-12-12 07:00:00,230.09,230.1,229.8,229.94,331
2024-12-12 06:30:00,230.02,230.14,230.02,230.14,32
2024-12-12 06:00:00,230.07,230.41,230.01,230.02,116
2024-12-12 05:30:00,230.45,230.48,230.02,230.04,366
